Issue,CycleTime,Users
"""169844""",85468,"[""aeschli"", ""github-actions[bot]""]"
169844,85468,"[""aeschli"", ""github-actions[bot]""]"
"""155883""",83481,"[""alexr00"", ""bhavyaus"", ""github-actions[bot]"", ""weinand"", ""Danielmelody"", ""VSCodeTriageBot"", ""connor4312"", ""roblourens""]"
155883,83481,"[""alexr00"", ""bhavyaus"", ""github-actions[bot]"", ""weinand"", ""Danielmelody"", ""VSCodeTriageBot"", ""connor4312"", ""roblourens""]"
188144,79996,"[""jrieken""]"
"""188144""",79996,"[""jrieken""]"
188211,74361,"[""mjbvz""]"
"""188211""",74361,"[""mjbvz""]"
152112,72493,"[""github-actions[bot]"", ""justschen"", ""mjbvz"", ""roblourens""]"
"""152112""",72493,"[""github-actions[bot]"", ""justschen"", ""mjbvz"", ""roblourens""]"